Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum
data engineer,2023-01-25,courbevoie,"python, sql, agile, test, big data, outils, nosql, hadoop, git, bases de données, support, java, scala, unix, linux, unix, excel, spark","
inetum
","cdi
 ",50000.0,60000.0
architecte,2023-01-24,courbevoie,"sql, agile, git, excel","
inetum
","cdi
 ",50000.0,60000.0
manager,2023-01-21,paris  dept,"sql, git, bases de données, qlik, sécurité, talend, etl","
mp
","cdi
 ",48000.0,50000.0
chef de projet,2023-01-21,essonne,"data management, bases de données, salesforce","
mp
","cdi
 ",43000.0,48000.0
data analyst,2023-01-21,paris  dept,"test, outils, bases de données, support, sap, tableau","
mp
","cdi
 ",40000.0,45000.0
data analyst,2023-01-21,paris  dept,"outils, excel","
mp
","cdi
 ",40000.0,46000.0
responsable,2023-01-18,nanterre,"sql, big data, outils, communication, bases de données, excel","
freelancr
","cdi
 ",80000.0,90000.0
data officer ,2023-01-17,guyancourt,"agile, sas","
robert half international
","cdi
 ",50000.0,60000.0
consultant,2023-01-14,st ouen sur seine,"data management, data quality","
gfi
","cdi
 ",40000.0,58000.0
data privacy officer,2023-01-11,ivry sur seine,"big data, outils, communication, iaas, paas, saas, acquisition, sas","
robert half international
","cdd
 ",60000.0,60000.0
manager,2023-01-10,neuilly sur seine,"python, sql, test, intelligence artificielle, saas, réseaux sociaux, réseaux, scala, web, postgresql, devops, spark","
seyos
","cdi
 ",60000.0,70000.0
data scientist,2023-01-10,paris,"sql, test, tableau, data quality","
dynamis rh
","cdi
 ",60000.0,70000.0
manager,2023-01-12,montigny le bretonneux,"python, sas, power bi, tableau, excel","
qr versailles it
","cdi
 ",35000.0,45000.0
business analyst,2023-01-07,paris  dept,"marketing, support, excel","
mp
","cdi
 ",155988.0,207984.0
développeur python ,2023-01-03,st ouen l aumone,"python, sql, test, big data, bases de données, oracle, mysql, postgresql","
inetum
","cdi
 ",40000.0,60000.0
développeur backend senior ,2023-01-20,paris,"sql, outils, communication, nosql, git, bases de données, serveur, cloud, devops, sécurité, excel","
nextgen rh
","cdi
 ",55000.0,70000.0
data scientist,2023-01-26,neuilly sur seine,"python, sql, test, outils, communication, nosql, machine learning, cloud, ios, spark, nlp, tensorflow","
pricewaterhousecoopers audit
","cdi
 ",40000.0,46000.0
data analyst,2023-01-26,paris,"outils, bases de données, support, web, cloud, tableau","
agence qualite construction
","cdi
 ",35000.0,40000.0
manager,2023-01-26,paris,"communication, git, acquisition, tableau, excel","
uptoo
","cdi
 ",40000.0,60000.0
consultant,2023-01-26,neuilly sur seine,"communication, data management, cloud","
pricewaterhousecoopers audit
","cdd
 ",40000.0,46000.0
data engineer,2023-01-26,neuilly sur seine,"python, sql, agile, big data, outils, machine learning, git, web, postgresql, cloud, qlik, tableau, spark","
pricewaterhousecoopers audit
","cdd
 ",40000.0,46000.0
consultant,2023-01-26,neuilly sur seine,"outils, communication, data management, cloud, excel, data quality","
pricewaterhousecoopers audit
","cdi
 ",40000.0,46000.0
data analyst,2023-01-26,neuilly sur seine,"python, sql, outils, communication, sas, power bi, cloud, qlik, tableau, salesforce, spark, tensorflow","
pricewaterhousecoopers audit
","cdi
 ",40000.0,46000.0
data analyst,2023-01-26,neuilly sur seine,"python, sql, outils, communication, sas, power bi, cloud, qlik, tableau, salesforce, spark, tensorflow","
pricewaterhousecoopers audit
","intérim
 ",40000.0,46000.0
data engineer,2023-01-25,paris,"sql, recette, sas, power bi, excel","
link consulting
","intérim
 ",45000.0,50000.0
consultant,2023-01-25,paris,"python, test, outils, machine learning, web, cloud, tableau, vba","
go concept
","cdi
 ",35000.0,55000.0
chef de projet,2023-01-25,paris,communication,"
nextgen rh
","cdi
 ",45000.0,55000.0
data scientist,2023-01-25,courbevoie,"python, agile, test, git, java, c++, excel, tensorflow, keras","
gfi informatique
","cdi
 ",45000.0,60000.0
consultant,2023-01-25,paris,"python, sql, data management, business intelligence, power bi, cloud, moe, excel","
datatorii
","cdi
 ",45000.0,55000.0
master data supply chain sap   création ,2023-01-24,rungis,"test, sap, excel","
page personnel
","cdi
 ",41000.0,47000.0
data analyst,2023-01-24,paris,"outils, excel","
michael page international france
","cdi
 ",40000.0,46000.0
manager,2023-01-24,paris,"sql, git, bases de données, qlik, sécurité, talend, etl","
michael page international france
","cdi
 ",48000.0,50000.0
"ingénieur data  bi   système, réseaux, données ",2023-01-24,boulogne billancourt,"communication, bases de données","
alten
","cdi
 ",33000.0,42000.0
data scientist,2023-01-24,boulogne billancourt,"python, sql, machine learning, sécurité, spark","
agap2it
","cdi
 ",35000.0,60000.0
chef de projet,2023-01-24,boulogne billancourt,"sql, test, recette, communication, bases de données, support, talend, etl","
lhhleaders.fr
","cdi
 ",45000.0,53000.0
data analyst,2023-01-24,paris,"test, outils, bases de données, support, sap, tableau","
michael page international france
","intérim
 ",40000.0,45000.0
chef de projet,2023-01-23,paris,"test, communication, bases de données, support","
isabelle sourati
","cdi
 ",40000.0,50000.0
data scientist,2023-01-23,boulogne billancourt,"python, sql, outils, marketing, git, power bi, cloud","
mherit
","cdi
 ",40000.0,42000.0
data scientist,2023-01-23,boulogne billancourt,"python, sql, outils, marketing, git, power bi, cloud","
mherit
","cdi
 ",40000.0,42000.0
data analyst,2023-01-23,sevres,"python, outils, communication, git, bases de données, power bi, tableau, excel, crm","
preciphar
","cdi
 ",42000.0,50000.0
data scientist,2023-01-20,paris,"python, sql, marketing, cloud, spark","
harnham
","cdi
 ",40000.0,50000.0
chef de projet,2023-01-20,les ulis,"communication, marketing, acquisition, crm","
page personnel
","cdi
 ",30000.0,40000.0
data analyst,2023-01-20,paris,power bi,"
findit consulting
","cdi
 ",45000.0,55000.0
data analyst,2023-01-20,paris,power bi,"
findit consulting
","cdi
 ",45000.0,55000.0
cheffe de projets statistiques  data et conception d'outils   informatique de gestion ,2023-01-20,paris,"sql, outils, git, bases de données, java, power bi, sql server, c#, javascript, excel","
uniformation
","cdi
 ",40000.0,45000.0
master data supply chain sap ,2023-01-19,ivry sur seine,"test, sap, excel","
pp
","cdi
 ",41000.0,47000.0
data engineer,2023-01-19,paris,"python, sql, outils, cloud","
dataworks
","cdi
 ",45000.0,60000.0
data analyst,2023-01-20,creteil,"python, sql, outils, communication, bases de données, sas, power bi, tableau, ios","
caf du val-de-marne
","cdi
 ",32000.0,33000.0
data scientist,2023-01-19,pantin,"python, big data, outils, intelligence artificielle, validation, power bi, excel","
bnpparibas
","cdi
 ",38000.0,45000.0
business analyst,2023-01-26,paris,"sql, agile, test, recette, outils, data management, support, sas, vba","
f.b.h.associes
","cdi
 ",45000.0,90000.0
développeur data processing   informatique de gestion ,2023-01-19,paris,"agile, java, scrum, scala, c#, devops, sécurité","
penelope kavaliauskas
","cdi
 ",45000.0,60000.0
chef de projet,2023-01-25,paris,"python, sql, outils, data management, business intelligence, excel","
datatorii
","cdi
 ",45000.0,55000.0
data engineer,2023-01-18,paris,"python, sql, test, hadoop, java, scala, web, excel, etl","
sciam
","cdd
 ",48000.0,60000.0
data analyst,2023-01-17,paris,"big data, saas, data management, machine learning, git","
l2c
",nan,70000.0,85000.0
directeur projet  data et computer vision   commercial ,2023-01-17,paris,agile,"
geoffre charbonnel cecile yolande
","cdi
 ",47000.0,63000.0
data analyst,2023-01-26,arcueil,"python, sql, outils, marketing, git, support, power bi, excel, crm","
aquantis
","cdi
 ",40000.0,50000.0
tech lead data gcp   informatique de gestion ,2023-01-17,boulogne billancourt,"python, git, crm","
geser best
","cdi
 ",35000.0,45000.0
"adjoint au chef de département data   système, réseaux, données ",2023-01-17,paris,"python, outils, machine learning, réseaux, tableau, moa","
île-de-france mobilités
","cdd
 ",35000.0,72000.0
consultant,2023-01-16,bobigny,"data management, data quality","
gfi informatique
","cdd
 ",40000.0,58000.0
data analyst,2023-01-16,courbevoie,"big data, outils, excel","
dekra personnel france
","cdi
 ",35000.0,45000.0
data analyst,2023-01-16,montrouge,"sql, agile, outils, marketing, bases de données, power bi, sql server, ios","
datavalue consulting
","cdi
 ",38000.0,45000.0
pmo data   informatique de gestion ,2023-01-16,paris,"outils, communication, git, support, ios","
citech
","cdi
 ",40000.0,55000.0
pmo data   informatique de gestion ,2023-01-16,paris,"outils, communication, git, support, ios","
citech
","cdi
 ",40000.0,55000.0
data analyst,2023-01-13,wissous,"outils, qlik, tableau, qlikview, excel","
michael page international france
","cdd
 ",40000.0,45000.0
ingenieur,2023-01-13,rosny sous bois,"python, sql, outils, nosql, hadoop, machine learning, java, scala, cloud, spark","
general de gaulle
","cdd
 ",33000.0,38000.0
"ingénieure big data   système, réseaux, données ",2023-01-13,paris,"python, big data, hadoop, java, scala, linux, spark","
cgilanum
","cdi
 ",45000.0,55000.0
expert,2023-01-13,boulogne billancourt,"agile, test, recette, outils, communication, validation, réseaux, windows, oracle, network, linux, sécurité, ios","
davidson
","cdi
 ",45000.0,75000.0
business analyst,2023-01-13,montrouge,"python, machine learning, data quality","
mp
","cdi
 ",70000.0,75000.0
ingénieur software data r&d ,2023-01-13,montrouge,"agile, machine learning, etl","
mp
","cdi
 ",70000.0,80000.0
expert,2023-01-13,puteaux,"communication, data management, support, web, etl","
mp
","cdd
 ",60000.0,65000.0
manager,2023-01-13,pantin,"outils, support, cloud, sécurité, excel","
mp
","cdi
 ",70000.0,85000.0
data analyst,2023-01-13,paris,"outils, excel","
mp
",nan,40000.0,46000.0
manager,2023-01-13,bobigny,"outils, support, cloud, sécurité, excel","
mp
","cdi
 ",70000.0,85000.0
chef de projet,2023-01-13,corbeil essonnes,"data management, git, bases de données, salesforce","
mp
","cdi
 ",43000.0,48000.0
data analyst,2023-01-13,paris,"test, outils, bases de données, support, sap, tableau","
mp
",nan,40000.0,45000.0
responsable,2023-01-13,bobigny,"big data, outils, communication, marketing, validation, scrum","
mp
","cdi
 ",55000.0,65000.0
business analyst,2023-01-13,paris,"marketing, support, excel","
mp
",nan,155988.0,207984.0
manager,2023-01-13,paris,"sql, git, bases de données, web, qlik, sécurité, talend, etl","
mp
",nan,48000.0,50000.0
ingénieur big data ,2023-01-13,paris,"sql, test, big data, support, sas, excel, ios, etl","
mp
",nan,45000.0,60000.0
"ingénieur data   système, réseaux, données ",2023-01-12,paris,"python, agile, test, outils, git, jenkins","
confidentiel
","cdi
 ",45000.0,55000.0
consultant,2023-01-25,paris,"python, sql, communication, data management, excel","
datatorii
","cdd
 ",45000.0,55000.0
chef de projet,2023-01-10,paris,"test, recette, marketing, git, web, seo, crm","
nexton consulting
",nan,30000.0,90000.0
manager,2023-01-10,paris,"outils, devops","
frg technology consulting
",nan,90000.0,110000.0
data analyst,2023-01-10,paris,"sql, agile, outils, power bi, qlik, tableau, data quality, etl","
frg technology consulting
",nan,39000.0,59000.0
data ingénieur,2023-01-10,paris,"outils, hadoop, machine learning, git, windows, tableau, linux, talend, etl, spark","
alteca
","intérim
 ",40000.0,60000.0
"ingénieur data azure   système, réseaux, données ",2023-01-10,neuilly sur seine,"outils, communication, power bi, scala, tableau, etl","
nigel frank international
","cdi
 ",45000.0,65000.0
data analyst,2023-01-10,charenton le pont,"sql, outils, git, sas, power bi, cloud","
citech
","cdi
 ",40000.0,55000.0
data engineer,2023-01-24,paris,"test, big data, outils, git, acquisition, spring, devops, spark","
zenika
","cdi
 ",48000.0,70000.0
conducteur de travaux data center cfocfa   cadres de chantier ,2023-01-10,guyancourt,sécurité,"
ceme ile-de-france
","cdd
 ",38000.0,46000.0
data analyst,2023-01-09,boulogne billancourt,"sql, bases de données, power bi, tableau, excel","
reignier maryne
","cdi
 ",35000.0,50000.0
consultant,2023-01-09,puteaux,"python, big data, java, power bi, scala","
domicile
","cdd
 ",45000.0,70000.0
web data automatisme électrotechnique   informatique industrielle ,2023-01-23,rueil malmaison,"outils, web, excel","
takoma
","cdi
 ",27000.0,33000.0
data engineer,2023-01-23,paris,"python, sql, big data, scrum, scala, postgresql, cloud, etl, spark","
harnham
","cdi
 ",40000.0,50000.0
data engineer,2023-01-09,paris,"python, test, outils, hadoop, machine learning, java, scala, cloud, devops, spark","
neoxia
","intérim
 ",42000.0,45000.0
data analyst,2023-01-23,paris,"python, sql, power bi, tableau, talend, etl","
shape it
","cdi
 ",34000.0,40000.0
data engineer,2023-01-09,rueil malmaison,"python, sql, agile, big data, communication, machine learning, git, bases de données, scala, postgresql, serveur, spark","
groupe astek
","cdi
 ",34000.0,60000.0
data engineer,2023-01-09,paris,"python, big data, hadoop, scala, cloud, spark","
exalt it
","cdi
 ",40000.0,75000.0
référent,2023-01-09,guyancourt,"test, communication, data management, business intelligence, support, cloud, devops, nlp","
michael page international france
","cdi
 ",45000.0,60000.0
manager,2023-01-06,paris,"test, outils, git, web","
nexton consulting
",nan,25000.0,80000.0
data analyst,2023-01-05,stains,"bases de données, ios","
tekkeys sas
","cdi
 ",45000.0,48000.0
data engineer,2023-01-05,paris,"python, sql, recette, outils, communication, bases de données, power bi, sql server, oracle, tableau, excel, ios, etl","
iziday
","cdi
 ",35000.0,60000.0
data analyst,2023-01-05,paris,"sql, outils, bases de données, power bi","
citech
","cdi
 ",45000.0,60000.0
"développeur big data   système, réseaux, données ",2023-01-05,boulogne billancourt,"python, sql, test, big data, hadoop, java, scala, unix, web, unix, sécurité, ios, talend, etl, spark","
agap2it
","cdi
 ",35000.0,50000.0
développeur java big data   informatique de gestion ,2023-01-09,paris,"agile, test, big data, hadoop, java, spark","
margo conseil
","intérim
 ",40000.0,70000.0
manager,2023-01-17,tremblay en france,"test, big data, outils, validation, machine learning, support, acquisition, ios","
oem services
","cdi
 ",42000.0,45000.0
ingénieur qa débutant accepté  editeur data & ia   informatique de gestion ,2023-01-03,puteaux,"test, outils, saas, git, scrum, web, ios","
wake it up
","cdi
 ",35000.0,55000.0
product owner  société spécialisée dans l'innovation iot et la data   informatique de gestion ,2023-01-03,levallois perret,"python, agile, web","
silkhom
","cdi
 ",45000.0,65000.0
data analyst,2023-01-03,paris,"agile, recette, outils, tableau","
mydral
","cdd
 ",38000.0,43000.0
ingénieur devops big data nifi   informatique de gestion ,2023-01-23,villejuif,"big data, communication, git, linux, devops","
alithya france
","cdi
 ",45000.0,55000.0
chef de projet,2022-12-30,paris,"agile, recette, business intelligence","
seenovate
","cdi
 ",47000.0,55000.0
développeur java ee  big data [full remote]   informatique de gestion ,2022-12-30,neuilly sur seine,"sql, test, big data, nosql, hadoop, java, spark","
recrut-info
","cdi
 ",45000.0,60000.0
data analyst,2022-12-30,bobigny,"marketing, vba, excel","
pp
","cdd
 ",35000.0,42000.0
ingenieur,2022-12-29,neuilly sur seine,"python, sql, big data, nosql, hadoop, java, spring, cloud, spark","
olivier lefievre novagen conseil
","cdi
 ",40000.0,60000.0
"ingénieur système et réseau data center   système, réseaux, données ",2022-12-28,st gratien,"python, outils, git, bases de données, réseaux, windows, cloud, vmware, linux, sécurité, excel","
verso healthcare
","cdi
 ",40000.0,50000.0
gestionnaire master data ,2022-12-24,bobigny,"outils, marketing, bases de données, support","
pp
","cdi
 ",372000.0,384000.0
consultant,2023-01-17,paris,"sql, sas, tableau, excel","
product development employeneurship
","cdd
 ",45000.0,60000.0
