Unnamed: 0,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires minimum,Salaires maximum
321,chef de projet,2023-01-24,boulogne billancourt,"sql, test, recette, communication, bases de données, support, talend, etl","
lhhleaders.fr
","cdi
 ",45000.0,53000.0
322,data analyst,2023-01-24,paris,"test, outils, bases de données, support, sap, tableau","
michael page international france
","intérim
 ",40000.0,45000.0
347,chef de projet,2023-01-23,paris,"test, communication, bases de données, support","
isabelle sourati
","cdi
 ",40000.0,50000.0
353,data scientist,2023-01-23,boulogne billancourt,"python, sql, outils, marketing, git, power bi, cloud","
mherit
","cdi
 ",40000.0,42000.0
354,data scientist,2023-01-23,boulogne billancourt,"python, sql, outils, marketing, git, power bi, cloud","
mherit
","cdi
 ",40000.0,42000.0
361,data analyst,2023-01-23,sevres,"python, outils, communication, git, bases de données, power bi, tableau, excel, crm","
preciphar
","cdi
 ",42000.0,50000.0
387,data scientist,2023-01-20,paris,"python, sql, marketing, cloud, spark","
harnham
","cdi
 ",40000.0,50000.0
389,chef de projet,2023-01-20,les ulis,"communication, marketing, acquisition, crm","
page personnel
","cdi
 ",30000.0,40000.0
393,data analyst,2023-01-20,paris,power bi,"
findit consulting
","cdi
 ",45000.0,55000.0
394,data analyst,2023-01-20,paris,power bi,"
findit consulting
","cdi
 ",45000.0,55000.0
405,cheffe de projets statistiques  data et conception d'outils   informatique de gestion ,2023-01-20,paris,"sql, outils, git, bases de données, java, power bi, sql server, c#, javascript, excel","
uniformation
","cdi
 ",40000.0,45000.0
412,master data supply chain sap ,2023-01-19,ivry sur seine,"test, sap, excel","
pp
","cdi
 ",41000.0,47000.0
416,data engineer,2023-01-19,paris,"python, sql, outils, cloud","
dataworks
","cdi
 ",45000.0,60000.0
424,data analyst,2023-01-20,creteil,"python, sql, outils, communication, bases de données, sas, power bi, tableau, ios","
caf du val-de-marne
","cdi
 ",32000.0,33000.0
429,data scientist,2023-01-19,pantin,"python, big data, outils, intelligence artificielle, validation, power bi, excel","
bnpparibas
","cdi
 ",38000.0,45000.0
430,business analyst,2023-01-26,paris,"sql, agile, test, recette, outils, data management, support, sas, vba","
f.b.h.associes
","cdi
 ",45000.0,90000.0
431,développeur data processing   informatique de gestion ,2023-01-19,paris,"agile, java, scrum, scala, c#, devops, sécurité","
penelope kavaliauskas
","cdi
 ",45000.0,60000.0
