Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum,origine
ingenieur,2023-01-12,paris,"cloud,securite,devops,securite,si",uniware global services,cdi,50000.0,60000.0,patrick
ingenieur,2023-01-12,paris,"reseaux,securite,securite,infrastructure,wan",uniware global services,cdi,38000.0,55000.0,patrick
ingenieur,2022-12-15,paris,"digital,devops,web,android,open source",kisio,cdi,,,patrick
stage,2023-01-01,ile de france,"electronique,outils,validation,data management",safran-group,stage,,,patrick
ingenieur,2023-01-12,paris,"linux,unix,windows,hp,infrastructure",uniware global services,cdi,38000.0,55000.0,patrick
ingenieur,2022-12-19,courbevoie,"support,cloud,network,linux,windows",amazon,cdi,,,patrick
ingenieur,2023-01-12,paris,"linux,devops,infrastructure,mongodb,apache",uniware global services,cdi,,,patrick
ingenieur,2022-12-26,paris,"devops,outils,linux,infrastructure,jenkins",uniware global services,cdi,40000.0,60000.0,patrick
alternance,2022-12-15,palaiseau,"reseau,si,infrastructure,reseaux,big data",edf france,contrat de professionnalisation,,,patrick
ingenieur,2023-01-14,neuilly sur seine,"cloud,devops,securite,securite,sql server",uniware global services,cdi,45000.0,60000.0,patrick
ingenieur,2022-12-25,paris,"intelligence artificielle,outils,reseaux,machine learning,big data",iliad-free,cdi,,,patrick
data analyst,2022-12-19,paris,"digital,web,outils,javascript,recette",business & decision,cdi,,,patrick
chef de projet,2022-12-26,seine saint denis,"crm,web,marketing,design,pack office",printemps,cdi,,,patrick
developpeur,2022-12-25,paris,"java,j2ee,web,jboss,securite",synchrone,cdi,45000.0,65000.0,patrick
stage,2022-12-29,palaiseau,"outils,python,langage,si,git",edf france,stage,,,patrick
developpeur,2023-01-06,chatillon,"cloud,si,iaas,windows,saas",orange,,,,patrick
ingenieur,2023-01-14,neuilly sur seine,"cloud,web,devops,python,infrastructure",uniware global services,cdi,40000.0,60000.0,patrick
chef de projet,2022-12-15,paris,"outils,decisionnel,support,business objects,business intelligence",tf1,cdi,,,patrick
developpeur,2022-12-25,paris,"angularjs,agile,web,framework,outils",synchrone,cdi,30000.0,50000.0,patrick
